"view_history","rt","trialid","trial_type","trial_index","time_elapsed","internal_node_id","responses"
"[{""page_index"":0,""viewing_time"":2072}]","2073","Instructions_Math","instructions","0","2075","0.0-0.0",""
"","1375","Math_01","survey-multi-choice1","1","3539","0.0-1.0","{""Q0"":""Muy en Desacuerdo""}"
"","1933","Math_02","survey-multi-choice1","2","5500","0.0-2.0","{""Q0"":""Muy en Desacuerdo""}"
"","1470","Math_03","survey-multi-choice1","3","6993","0.0-3.0","{""Q0"":""En Desacuerdo""}"
"","879","Math_04","survey-multi-choice1","4","7882","0.0-4.0","{""Q0"":""Muy en Desacuerdo""}"
"","687","Math_05","survey-multi-choice1","5","8595","0.0-5.0","{""Q0"":""Muy en Desacuerdo""}"
"","1980","Math_06","survey-multi-choice1","6","10592","0.0-6.0","{""Q0"":""Indeciso""}"
"","1184","Math_07","survey-multi-choice1","7","11795","0.0-7.0","{""Q0"":""De Acuerdo""}"
"","1636","Math_08","survey-multi-choice1","8","13459","0.0-8.0","{""Q0"":""Muy de Acuerdo""}"
"","1055","Math_09","survey-multi-choice1","9","14542","0.0-9.0","{""Q0"":""Muy en Desacuerdo""}"
"","799","Math_10","survey-multi-choice1","10","15362","0.0-10.0","{""Q0"":""En Desacuerdo""}"
"","1636","Math_11","survey-multi-choice1","11","17017","0.0-11.0","{""Q0"":""Muy de Acuerdo""}"
"","1387","Math_12","survey-multi-choice1","12","18419","0.0-12.0","{""Q0"":""De Acuerdo""}"
"","1266","Math_13","survey-multi-choice1","13","19703","0.0-13.0","{""Q0"":""Indeciso""}"
"","1388","Math_14","survey-multi-choice1","14","21114","0.0-14.0","{""Q0"":""En Desacuerdo""}"
